dataset,zs,oracle,best oracle,accum,best accum,best oracle - zs
nz_nz_EFH_HCAME06,0.87,0.86,0.91,,,0.04
nz_nz_EFH_HCAMF11,0.85,0.93,0.89,,,0.04
nz_nz_EFH_HCAMJ01,0.94,0.83,0.98,,,0.04
nz_nz_PS1_CAM6808,0.92,0.91,0.96,,0.94,0.04
PLN_PLN_B04,0.93,0.83,0.97,,,0.04
serengeti_serengeti_C03,0.86,0.90,0.90,,,0.04
serengeti_serengeti_C06,0.79,0.82,0.83,,,0.04
serengeti_serengeti_C13,0.79,0.83,0.83,,,0.04
serengeti_serengeti_G04,0.76,0.88,0.80,0.80,,0.04
serengeti_serengeti_G12,0.81,0.88,0.85,0.65,,0.04
serengeti_serengeti_J05,0.78,0.89,0.82,,,0.04
serengeti_serengeti_L07,0.75,0.84,0.79,0.71,,0.04
serengeti_serengeti_M02,0.75,0.70,0.79,,,0.04
serengeti_serengeti_M06,0.79,0.85,0.83,0.74,,0.04
serengeti_serengeti_M08,0.79,0.85,0.83,0.75,,0.04
serengeti_serengeti_N12,0.85,0.91,0.89,,0.86,0.04
serengeti_serengeti_O10,0.79,0.88,0.83,0.74,0.77,0.04
serengeti_serengeti_O13,0.88,0.87,0.92,,0.90,0.04
serengeti_serengeti_Q05,0.80,0.82,0.84,0.70,,0.04
serengeti_serengeti_Q07,0.84,0.87,0.88,0.79,,0.04
serengeti_serengeti_Q08,0.81,0.83,0.85,0.71,,0.04
serengeti_serengeti_Q09,0.81,0.83,0.85,0.56,0.80,0.04
serengeti_serengeti_R09,0.82,0.85,0.86,,0.84,0.04
serengeti_serengeti_T08,0.77,0.80,0.81,0.58,,0.04
APN_APN_LL5,0.91,0.88,0.96,,,0.05
APN_APN_TB17,0.91,0.92,0.96,,,0.05
CDB_CDB_E02,0.91,0.91,0.96,,,0.05
idaho_idaho_100,0.87,0.89,0.92,,,0.05
KAR_KAR_A01,0.90,0.85,0.95,,0.93,0.05
KAR_KAR_B02,0.84,0.88,0.89,0.78,,0.05
MAD_MAD_D07,0.93,0.92,0.98,,0.93,0.05
na_na_archbold_FL-09,0.91,0.62,0.96,,,0.05
na_na_archbold_FL-37,0.93,0.83,0.98,,,0.05
na_na_lebec_CA-30,0.87,0.96,0.92,,,0.05
na_na_lebec_CA-38,0.94,0.96,0.99,,,0.05
na_na_lebec_CA-40,0.88,0.90,0.93,,,0.05
nz_nz_EFD_DCAMA04,0.87,0.93,0.92,,0.89,0.05
nz_nz_EFD_DCAMD02,0.87,0.97,0.92,,,0.05
nz_nz_EFD_DCAMD06,0.88,0.90,0.93,,,0.05
nz_nz_EFD_DCAME03,0.82,0.91,0.87,0.75,0.82,0.05
nz_nz_EFD_DCAMF06,0.82,0.85,0.87,0.72,,0.05
nz_nz_EFH_HCAMB08,0.76,0.85,0.81,0.55,,0.05
nz_nz_EFH_HCAMD01,0.74,0.92,0.79,0.59,0.81,0.05
nz_nz_EFH_HCAME05,0.87,0.91,0.92,,,0.05
nz_nz_PS1_CAM7920,0.93,0.95,0.98,,,0.05
orinoquia_orinoquia_M04,0.65,0.97,0.70,0.60,0.66,0.05
PLN_PLN_D01,0.89,0.84,0.94,,,0.05
serengeti_serengeti_B13,0.88,0.89,0.93,,,0.05
serengeti_serengeti_D09,0.83,0.84,0.88,0.68,,0.05
serengeti_serengeti_D10,0.88,0.85,0.93,,,0.05
serengeti_serengeti_D12,0.79,0.77,0.84,0.69,0.78,0.05
serengeti_serengeti_E05,0.82,0.89,0.87,0.78,,0.05
serengeti_serengeti_F03,0.84,0.82,0.89,,,0.05
serengeti_serengeti_F07,0.80,0.85,0.85,0.75,0.82,0.05
serengeti_serengeti_H01,0.78,0.83,0.83,0.75,,0.05
serengeti_serengeti_H09,0.78,0.81,0.83,,,0.05
serengeti_serengeti_I05,0.76,0.83,0.81,,,0.05
serengeti_serengeti_J09,0.84,0.82,0.89,,,0.05
serengeti_serengeti_J13,0.76,0.82,0.81,0.61,,0.05
serengeti_serengeti_M13,0.77,0.77,0.82,0.68,,0.05
serengeti_serengeti_S10,0.84,0.77,0.89,,,0.05
serengeti_serengeti_S11,0.79,0.83,0.84,,,0.05
serengeti_serengeti_V10,0.76,0.84,0.81,0.67,,0.05
wellington_wellington_324,0.79,0.95,0.84,0.88,,0.05
APN_APN_K024,0.91,0.93,0.97,,,0.06
APN_APN_K051,0.90,0.90,0.96,,0.94,0.06
APN_APN_KUMH,0.82,0.91,0.88,0.75,,0.06
caltech_caltech_46,0.88,0.83,0.94,,0.91,0.06
caltech_caltech_61,0.90,0.85,0.96,,,0.06
CDB_CDB_B07,0.89,0.88,0.95,,,0.06
ENO_ENO_D04,0.85,0.89,0.91,,0.89,0.06
MAD_MAD_B03,0.90,0.95,0.96,,0.92,0.06
MAD_MAD_B05,0.90,0.95,0.96,,,0.06
MAD_MAD_C07,0.89,0.95,0.95,,0.94,0.06
MAD_MAD_MAD05,0.78,0.80,0.84,0.79,,0.06
na_na_archbold_FL-30,0.83,0.84,0.89,,,0.06
na_na_lebec_CA-37,0.82,0.80,0.88,,,0.06
nz_nz_EFD_DCAMC10,0.86,0.82,0.92,,0.84,0.06
nz_nz_EFD_DCAMD07,0.85,0.93,0.91,,,0.06
nz_nz_EFH_HCAMA03,0.84,0.90,0.90,0.71,0.88,0.06
nz_nz_EFH_HCAMA05,0.75,0.94,0.81,0.72,0.77,0.06
nz_nz_EFH_HCAMB03,0.87,0.94,0.93,,,0.06
